"""0"", ""Ravensburg"", ""47.781982"", ""9.61062"", ""Germany"", ""DE"", ""Ravensburg"", ""minor"", """", """", ""20-20"", ""20-20"""
"""0"", ""Leer"", ""53.233724"", ""7.456431"", ""Germany"", ""DE"", ""Leer"", ""minor"", """", """", ""20-20"", ""20-20"""
"""0"", ""Wittmund"", ""53.576739"", ""7.77839"", ""Germany"", ""DE"", ""Wittmund"", ""minor"", """", """", ""20-20"", ""20-20"""
"""0"", ""Ingelheim"", ""49.970782"", ""8.058826"", ""Germany"", ""DE"", ""Ingelheim"", ""minor"", """", """", ""20-20"", ""20-20"""
"""0"", ""Hoexter"", ""51.775814"", ""9.378885"", ""Germany"", ""DE"", ""Hoexter"", ""minor"", """", """", ""20-20"", ""20-20"""
"""0"", ""Oranienburg"", ""52.755772"", ""13.241967"", ""Germany"", ""DE"", ""Oranienburg"", ""minor"", """", """", ""20-20"", ""20-20"""
"""0"", ""Erbach"", ""49.661484"", ""8.994017"", ""Germany"", ""DE"", ""Erbach"", ""minor"", """", """", ""20-20"", ""20-20"""
"""0"", ""Freising"", ""48.402654"", ""11.747976"", ""Germany"", ""DE"", ""Freising"", ""minor"", """", """", ""20-20"", ""20-20"""
"""0"", ""Landau"", ""49.198444"", ""8.116921"", ""Germany"", ""DE"", ""Landau"", ""minor"", """", """", ""20-20"", ""20-20"""
"""0"", ""Stendal"", ""52.606895"", ""11.858671"", ""Germany"", ""DE"", ""Stendal"", ""minor"", """", """", ""20-20"", ""20-20"""
"""0"", ""Balingen"", ""48.277142"", ""8.852118"", ""Germany"", ""DE"", ""Balingen"", ""minor"", """", """", ""20-20"", ""20-20"""
"""0"", ""Reutlingen"", ""48.488779"", ""9.213698"", ""Germany"", ""DE"", ""Reutlingen"", ""minor"", """", """", ""20-20"", ""20-20"""
"""0"", ""Eisenach"", ""50.980701"", ""10.315221"", ""Germany"", ""DE"", ""Eisenach"", ""minor"", """", """", ""20-20"", ""20-20"""
"""0"", ""Tuttlingen"", ""47.984644"", ""8.817702"", ""Germany"", ""DE"", ""Tuttlingen"", ""minor"", """", """", ""20-20"", ""20-20"""
"""0"", ""Neumuenster"", ""54.074773"", ""9.981954"", ""Germany"", ""DE"", ""Neumuenster"", ""minor"", """", """", ""20-20"", ""20-20"""
"""0"", ""Neu-Ulm"", ""Ulm, 48.400724"", ""9.99028"", ""Germany"", ""DE"", ""Neu-Ulm"", ""minor"", """", """", ""20-20"", ""20-20"""
"""0"", ""Koethen"", ""51.751855"", ""11.970928"", ""Germany"", ""DE"", ""Koethen"", ""minor"", """", """", ""20-20"", ""20-20"""
"""0"", ""Schleiz"", ""50.578663"", ""11.810237"", ""Germany"", ""DE"", ""Schleiz"", ""minor"", """", """", ""20-20"", ""20-20"""
"""0"", ""Garmisch-Partenkirchen"", ""Partenkirchen, 47.498475"", ""11.104356"", ""Germany"", ""DE"", ""Garmisch-Partenkirchen"", ""minor"", """", """", ""20-20"", ""20-20"""
"""0"", ""Baden-Baden"", ""Baden, 48.757631"", ""8.242458"", ""Germany"", ""DE"", ""Baden-Baden"", ""minor"", """", """", ""20-20"", ""20-20"""
